layer,E_falqon_x,E_tr_x,E_so_x,P_falqon_x,P_tr_x,P_so_x,E_falqon_xy,E_tr_xy,E_so_xy,P_falqon_xy,P_tr_xy,P_so_xy,E_falqon_warm,E_tr_warm,E_so_warm,P_falqon_warm,P_tr_warm,P_so_warm
427,-0.0037761627511667404,-0.006556789414732944,-0.005022271777350245,0.4402198302730169,0.5838949107445052,0.5740455325487545,-0.006481176854424597,-0.006398533017629635,0.002833642060871204,0.6269150115369652,0.592216904875256,0.4217108912495298,0.015235590560649805,0.02531120419007748,0.01279188963729539,0.6048675567113171,0.5939763702099525,0.6003613505738082
428,-0.0037841780259942805,-0.006562315885413392,-0.005030963778584323,0.4413455801078339,0.5842338024219994,0.5742600044149008,-0.00648117111498527,-0.006398824943146694,0.0028317863580617766,0.6269069709303717,0.5922166004856453,0.422397533244791,0.015234704641315292,0.025306291058004433,0.012789718849959428,0.6048845178607213,0.5943027128029237,0.6003132111202641
429,-0.0037913676649532235,-0.006568681559446692,-0.005029971020284641,0.44241411901469335,0.5845935309551907,0.5742361662501277,-0.0064812022728982675,-0.006398830646822609,0.0028301154450766663,0.6269197125330511,0.5922132819399301,0.423043573265764,0.015221570835141505,0.02530307921107867,0.012789615420494897,0.604954109921461,0.5945368471420371,0.6003172535605521
430,-0.0037980964726596128,-0.006574885456189075,-0.005037186350204415,0.44344938781798815,0.5849438149205216,0.5744071323644802,-0.0064813294875435854,-0.006398873734396862,0.0028285535861211565,0.6269528667976326,0.59221446946512,0.42366257042323724,0.015195778575004247,0.025302198805030054,0.012788209910767862,0.6048369267446891,0.5946176229548731,0.6003354048572694
431,-0.0038047285549209853,-0.006579469557180514,-0.0050361207140585,0.44447833769913614,0.5852371593789678,0.5743811626248935,-0.006481558105463138,-0.0063995659805027505,0.0028270259477996534,0.6270020037346559,0.59222653847338,0.4242694518951543,0.015170800064517558,0.025301642723043062,0.012787464304120526,0.6044080699225761,0.594644988314843,0.6003250493564148
432,-0.003811600247684644,-0.00658255358375211,-0.005041539268152306,0.445527034063727,0.5854612518430172,0.5745064321622038,-0.006481839291078447,-0.006401208312602573,0.0028254575407313225,0.6270599734357218,0.592248211004269,0.4248797733335807,0.015157220118724096,0.025299236518831498,0.01278683695759847,0.6038587141746072,0.5946933790392283,0.6003103133140101
433,-0.0038189943640836747,-0.00658550678884632,-0.005040987475754617,0.44661667755873485,0.5856611017711691,0.5744935141385058,-0.006482107879310266,-0.006403307783587067,0.0028237716057942356,0.6271190463747232,0.5922700962769227,0.42550900576934003,0.015153642046134204,0.02529374004493527,0.01278375532962726,0.6034584338730693,0.5947572697653102,0.6002623081245444
434,-0.0038271072675946363,-0.0065897957754985845,-0.005046297989548738,0.44776021062080235,0.5859033358499213,0.5746135513832376,-0.0064823206142811205,-0.006404831365673743,0.0028218885111417668,0.6271729899638324,0.5922825761301806,0.42617187357364733,0.015153755412326528,0.025291627795445304,0.01277520742851639,0.6033216196763718,0.5947628113229467,0.6000936773072323
435,-0.0038360109914812963,-0.00659576055571616,-0.005046207991440032,0.448960172714182,0.5862139744499918,0.5746115135860136,-0.006482467875140374,-0.0064052751547936885,0.002819726143362052,0.6272182710736016,0.5922856137255661,0.42688175069881046,0.015152857495211764,0.025291784120974055,0.0127692528605847,0.6034275889020884,0.5947614254167302,0.5997826477550047
436,-0.0038456241565718316,-0.00660183973652378,-0.005052741958233433,0.45020829169328475,0.5865512366768956,0.5747680677213769,-0.006482562001608943,-0.006405219123774576,0.0028172024256356873,0.6272541017576095,0.5922859158098464,0.42765011345887205,0.015148387834530713,0.025280383337135975,0.012769880758357726,0.603697174294928,0.5947640857292724,0.5996733184131835
437,-0.0038557102987222865,-0.006606552893725824,-0.00505249138068853,0.45148697401314497,0.5868470284400523,0.5747618099773442,-0.0064826206139216025,-0.006405368023542542,0.0028142400547490247,0.6272815728985727,0.5922847141636567,0.4284860495554903,0.015139241818160242,0.025265700840884385,0.01276384553386262,0.6040164397340874,0.5945503223471432,0.5999029282242051
438,-0.0038659160557577,-0.006609969774506323,-0.005059756453932959,0.452772464964928,0.5870773073947738,0.5749626814945772,-0.006482657132512285,-0.006405585476913456,0.0028107729493567243,0.6273024223901214,0.5922783284646969,0.4293958334871233,0.015126395844163235,0.025265069565252662,0.012744631505544722,0.6042455157288947,0.5942814635680618,0.60032298708767
439,-0.0038758460238791127,-0.0066126650498780585,-0.005059015191918058,0.4540391001347992,0.5872632130921055,0.5749407924786742,-0.00648267913143375,-0.0064055558699412565,0.002806753396157471,0.6273180476449671,0.5922713952690436,0.43038259340166396,0.015113772869367081,0.025261472051812037,0.012731530675348633,0.6042777813887735,0.5944238535384505,0.6004766040471684
440,-0.003885153607486102,-0.006614809720828244,-0.005065861121468212,0.4552638569391851,0.587425968566607,0.5751520082387374,-0.006482690570919284,-0.00640568074419187,0.002802158597609771,0.627329167243277,0.5922761594735876,0.4314461075494461,0.015106036038957594,0.025249259199481774,0.012728111562137578,0.6041343456916447,0.5946804576021185,0.600456744750807
441,-0.0038936180784419406,-0.006616490580495307,-0.005065091179564961,0.4564303961043725,0.5875738357109508,0.5751279262672319,-0.006482694710356495,-0.0064065109401687335,0.0027969953340735163,0.6273361138272403,0.5922962454847144,0.4325827734913944,0.015104114651684231,0.025245642823691527,0.012728254451276533,0.6039645468600071,0.5947079536048349,0.6004365544928173
442,-0.003901183811739776,-0.006618232830392505,-0.005071671706637179,0.45753195273499586,0.587721935112718,0.5753199392020907,-0.006482695332387059,-0.0064078680154462065,0.0027913017491960823,0.6273393774215089,0.5923221973527724,0.4337857858327481,0.015104374514028874,0.025245864572872184,0.012726950387312534,0.6039188574495779,0.594704728777779,0.6004611544025494
443,-0.0039079557478861925,-0.006621021810519004,-0.005071203908847957,0.4585727223101753,0.5879067398706302,0.5753074499391526,-0.00648269532520772,-0.006409094682939948,0.0027851457762483947,0.6273400075580359,0.5923435986743162,0.43504553769228055,0.015102090411977988,0.025243944891978336,0.012720708849228664,0.6040427205910592,0.5946879058916986,0.6004898398120896
444,-0.003914164679581206,-0.006625544019932214,-0.005078299332602381,0.4595676728442767,0.5881448851856523,0.5754776647148082,-0.006482695283106471,-0.006409780535327634,0.0027786203264374386,0.6273397620937382,0.5923573173984229,0.4363502306697591,0.015094173785295453,0.025242407792428936,0.012712186810649059,0.6042859021437811,0.5946168056653148,0.600407059248923
